iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
IND,transportation,non-broadcasting-vessels,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0,,annual,,
IND,transportation,non-broadcasting-vessels,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0,,annual,,
